GAME_ID,GAME_DATE,home_game_x,rolling_pts_home,rolling_reb_home,rolling_ast_home,rolling_fg_pct_home,rest_days_home,win_home,home_game_y,rolling_pts_away,rolling_reb_away,rolling_ast_away,rolling_fg_pct_away,rest_days_away,win_away
0012000001,2020-12-11,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1
0012000013,2020-12-13,1,112.0,61.0,20.0,0.37,2,1,0,116.0,49.0,26.0,0.457,2,0
0022000041,2020-12-28,1,117.0,50.8,24.6,0.43899999999999995,2,1,0,102.4,47.2,22.8,0.4418,2,0
0022000083,2021-01-02,1,125.8,49.4,25.6,0.47800000000000004,1,0,0,110.4,46.4,27.6,0.47119999999999995,2,1
0022000095,2021-01-04,1,119.2,49.8,25.2,0.45280000000000004,2,0,0,100.6,48.6,22.6,0.4454000000000001,2,1
0022000110,2021-01-06,1,116.4,47.0,25.4,0.45940000000000003,2,0,0,106.0,46.2,30.4,0.43979999999999997,2,1
0022000153,2021-01-11,1,102.4,48.0,24.0,0.4182,2,1,0,119.6,46.0,29.6,0.5167999999999999,2,0
0022000205,2021-01-18,1,101.8,50.2,23.0,0.3962,2,1,0,111.6,48.6,24.6,0.4468,5,0
0022000219,2021-01-20,1,104.6,48.4,24.4,0.41480000000000006,2,1,0,104.8,40.6,25.4,0.42060000000000003,2,0
0022000268,2021-01-26,1,113.6,48.2,25.0,0.46180000000000004,2,1,0,122.0,48.2,25.4,0.5142,2,0
0022000274,2021-01-27,1,114.0,47.8,24.2,0.46699999999999997,1,0,0,119.8,45.2,27.4,0.4828,2,1
0022000313,2021-02-01,1,116.6,42.4,22.6,0.4708,3,0,0,102.0,41.6,21.2,0.453,2,1
0022000330,2021-02-03,1,113.2,38.6,23.8,0.47400000000000003,2,0,0,106.2,37.8,21.2,0.46799999999999997,2,1
0022000338,2021-02-04,1,113.4,42.4,24.6,0.4728,1,0,0,115.6,48.2,23.2,0.43820000000000003,2,1
0022000356,2021-02-06,1,110.0,43.0,24.4,0.44560000000000005,2,1,0,118.6,42.0,25.4,0.46699999999999997,1,0
0022000397,2021-02-12,1,111.0,43.2,27.0,0.4648,2,0,0,104.0,44.4,24.4,0.41339999999999993,3,1
0022000407,2021-02-13,1,114.0,44.2,26.0,0.4566,1,0,0,104.6,42.4,26.8,0.43900000000000006,2,1
0022000470,2021-02-21,1,114.0,39.8,22.8,0.46559999999999996,2,1,0,113.2,41.0,24.8,0.4936,2,0
0022000490,2021-02-24,1,115.4,41.0,21.6,0.477,1,1,0,113.8,43.8,23.0,0.47539999999999993,1,0
0022000590,2021-03-13,1,107.6,49.0,23.0,0.4431999999999999,2,1,0,120.6,43.2,27.6,0.5048,2,0
0022000597,2021-03-14,1,110.0,47.2,23.0,0.457,1,1,0,103.6,46.2,22.6,0.45620000000000005,2,0
0022000626,2021-03-18,1,115.2,45.4,24.0,0.471,2,1,0,110.0,45.8,21.8,0.483,2,0
0022000759,2021-04-04,1,119.2,42.2,26.4,0.5134000000000001,2,1,0,105.8,38.8,24.6,0.4546,2,0
0022000770,2021-04-06,1,117.8,43.0,24.0,0.4902,2,1,0,112.4,46.6,24.8,0.4708,2,0
0022000780,2021-04-07,1,122.0,45.2,25.2,0.49539999999999995,1,0,0,117.4,47.4,28.0,0.4984,1,1
0022000791,2021-04-09,1,122.6,46.4,24.4,0.48819999999999997,2,1,0,114.4,47.4,29.0,0.4952,1,0
0022000840,2021-04-15,1,113.8,41.0,24.6,0.4868,2,0,0,119.0,49.6,23.6,0.4598,1,1
0022000861,2021-04-18,1,111.0,40.4,24.4,0.4774,3,1,0,120.2,47.0,25.2,0.4636,2,0
0022000876,2021-04-20,1,114.2,42.2,23.2,0.48600000000000004,2,1,0,102.2,39.6,22.2,0.4444,2,0
0022000898,2021-04-23,1,117.0,47.0,22.4,0.4626,2,1,0,109.2,42.4,29.8,0.4746,2,0
0022000913,2021-04-25,1,119.0,46.8,23.0,0.475,2,1,0,123.6,49.4,27.2,0.493,1,0
0022000959,2021-05-01,1,100.4,44.0,20.4,0.4306,1,1,0,102.2,47.2,28.6,0.4702,1,0
0022000978,2021-05-03,1,98.4,45.2,19.4,0.42300000000000004,2,1,0,126.6,49.4,24.2,0.47319999999999995,1,0
0022000992,2021-05-05,1,100.8,46.2,21.2,0.4368,2,1,0,121.0,42.6,27.0,0.524,1,0
